2347641, 2020: Jersey is '2G'?

ACC
failure: Ryan Hosea (2361727) | season: 2020 (15204) | school: Saint Michael's (613)
failure: C K (2365599) | season: 2020 (15204) | school: Stonehill (682)
failure: Jack Colella (2463301) | season: 2021 (15580) | school: Saint Michael's (613)

MAC
failure: Jonathon Nelson (1302820) | season: 2013 (11320) | school: Central Mich. (129)
failure: Chuck Seacrist (1306191) | season: 2013 (11320) | school: Kent St. (331)
failure: Eric Comstock (1307329) | season: 2013 (11320) | school: Eastern Mich. (204)
failure: Ian Ham (1307342) | season: 2013 (11320) | school: Eastern Mich. (204)
failure: Tyler Plys (1323178) | season: 2013 (11320) | school: Ohio (519)
failure: Davis Feldman (1767239) | season: 2016 (12360) | school: Eastern Mich. (204)
failure: Casey Horjus (1769350) | season: 2016 (12360) | school: Western Mich. (774)
failure: Devon Garcia (1773530) | season: 2016 (12360) | school: Ohio (519)
failure: John Holt (1871055) | season: 2017 (12560) | school: Eastern Mich. (204)
failure: Joe Gunn (1874518) | season: 2017 (12560) | school: Ball St. (47)
failure: Grant Hartwig (1884374) | season: 2017 (12560) | school: Miami (OH) (414)
failure: Caleb Scoles (1884548) | season: 2017 (12560) | school: Toledo (709)
failure: Nathan Lohmeier (1887410) | season: 2017 (12560) | school: Bowling Green (71)
failure: Jay Wilson (1887422) | season: 2017 (12560) | school: Miami (OH) (414)
failure: Billy Todorowski (1977735) | season: 2018 (12973) | school: Toledo (709)
failure: Alec Bukowski (1977746) | season: 2018 (12973) | school: Toledo (709)
failure: Garrett Nicholson (1978745) | season: 2018 (12973) | school: Central Mich. (129)
failure: Eli Gora (1982337) | season: 2018 (12973) | school: Eastern Mich. (204)
failure: Collin Romel (1985640) | season: 2018 (12973) | school: Kent St. (331)
failure: Ryan Lane (1985667) | season: 2018 (12973) | school: Kent St. (331)
failure: Ty Lautenschlager (1997279) | season: 2018 (12973) | school: Northern Ill. (503)
failure: Matt Mccumber (1997281) | season: 2018 (12973) | school: Northern Ill. (503)
failure: Noah Weiner (1997300) | season: 2018 (12973) | school: Ohio (519)
failure: Alex Kuster (1997311) | season: 2018 (12973) | school: Ohio (519)
failure: David Steward (1998038) | season: 2018 (12973) | school: Bowling Green (71)
failure: Chandler Banic (2115945) | season: 2019 (14781) | school: Ball St. (47)
failure: Nick Fushi (2115986) | season: 2019 (14781) | school: Ball St. (47)
failure: Ethan Mccarty (2115991) | season: 2019 (14781) | school: Ball St. (47)
failure: Billy Blood (2120126) | season: 2019 (14781) | school: Miami (OH) (414)
failure: Stephen Krause (2120128) | season: 2019 (14781) | school: Miami (OH) (414)
failure: Brant Vanaman (2120683) | season: 2019 (14781) | school: Kent St. (331)
failure: Devan Nail (2120684) | season: 2019 (14781) | school: Kent St. (331)
failure: Sam Thompson (2120685) | season: 2019 (14781) | school: Kent St. (331)
failure: Joe Capretta (2120688) | season: 2019 (14781) | school: Kent St. (331)
failure: Eric Wentz (2120862) | season: 2019 (14781) | school: Kent St. (331)
failure: Will Morrison (2121477) | season: 2019 (14781) | school: Western Mich. (774)
failure: Bobby Dearing (2121502) | season: 2019 (14781) | school: Western Mich. (774)
failure: Kurtis Rutschilling (2122900) | season: 2019 (14781) | school: Toledo (709)
failure: Lewis Beals (2127123) | season: 2019 (14781) | school: Eastern Mich. (204)
failure: Joe Weisensel (2133215) | season: 2019 (14781) | school: Ohio (519)
failure: Evan Fromwiller (2133222) | season: 2019 (14781) | school: Ohio (519)
failure: Xavier Haendigis (2133226) | season: 2019 (14781) | school: Ohio (519)
failure: Brady Huebbe (2134560) | season: 2019 (14781) | school: Northern Ill. (503)
failure: Jack Anderson (2134564) | season: 2019 (14781) | school: Northern Ill. (503)
failure: Tristan King (2134578) | season: 2019 (14781) | school: Northern Ill. (503)
failure: Joe Payton (2137985) | season: 2019 (14781) | school: Central Mich. (129)
failure: Cal Johnston (2138003) | season: 2019 (14781) | school: Central Mich. (129)
failure: Joseph Zontini (2138004) | season: 2019 (14781) | school: Central Mich. (129)
failure: Connor O'Donnell (2343908) | season: 2020 (15204) | school: Toledo (709)
failure: Trey Wright (2343923) | season: 2020 (15204) | school: Toledo (709)
failure: Jamie Mcmahon (2491578) | season: 2021 (15580) | school: Toledo (709)
failure: Nash Densel (2491579) | season: 2021 (15580) | school: Toledo (709)
failure: Patrick Dillon (2491586) | season: 2021 (15580) | school: Toledo (709)
failure: Matt Detering (2491587) | season: 2021 (15580) | school: Toledo (709)
failure: Grant Johnston (2491588) | season: 2021 (15580) | school: Toledo (709)
failure: Tyler Wynkoop (2491591) | season: 2021 (15580) | school: Toledo (709)
